ward_code,ward_name,Borough,Zone,mode_share,PTAL_bus2015,PTAL_LUL2015,PTAL_rail2015,PTAL_tram2015,PTAL_AI2015,speed_weekday_allday,speed_weekday_AM,speed_weekday_IN,change_weekday_allday,change_weekday_AM,change_weekday_IN,weekday_boardings_allday,weekend_boardings_ratio,alightings_boardings_ratio,2013_population,pop_0to15_perc,pop_16to64_perc,pop_65plus_perc,area_km,2013_pop_density,2014_med_house_price,2014_mean_income,2011_cars_own_density,2011_cars_per_household,2011_ethnic_white,2011_ethnic_mixed,2011_ethnic_asian,2011_ethnic_black
E05000569,Wallington North,Sutton,Outer,0.063866407,6.57083495,0,2.335315443,0,8.906150393,20.23387066,16.73516895,23.0339955,0.060121998,-0.669721278,1.884623562,15067.92872,52.57680656,112.8172366,10850,19.6347032,66.66666667,13.24200913,1.61927,6700.550248,272000,40150.74264,3156.978144,1.132476739,78.9124424,4.147465438,9.262672811,4.866359447
E05000493,Wall End,Newham,Outer,0.11373021,6.321332905,1.689371432,0,0,8.010704337,19.16271378,17.16880785,17.94304567,0.912565605,0.142695979,0.255212609,13220.58686,69.07915288,34.76965965,15064,24.91694352,68.77076412,6.644518272,1.37675,10941.71055,250000,31402.06103,2118.031596,0.701298701,17.50531067,3.1133829,62.67923526,11.2984599
E05000167,Waddon,Croydon,Outer,0.133309994,6.583619463,0,1.830356564,0.619426323,9.03340235,18.8588471,17.42128057,17.46661665,-0.764222674,-0.719219099,-0.964405157,28599.69218,69.77667533,74.71532045,17379,22.63610315,66.4756447,10.88825215,3.64759,4764.515749,243250,34536.25114,1632.310649,0.837883479,54.46228206,7.370964958,15.00086311,19.01720467
E05000646,Vincent Square,Westminster,Inner,0.200020088,19.19995806,7.993074062,15.46129798,0,42.65433011,15.73033716,14.46077547,14.50329287,-0.67746283,-0.320101804,-0.897435052,54125.62016,68.37733668,166.8309715,10292,14.0776699,72.81553398,12.62135922,0.59465,17307.65997,840000,64292.3769,3714.790213,0.434756938,68.58725223,4.459774582,12.16478818,7.005441119
E05000041,Village,Barking and Dagenham,Outer,0.153699408,2.883016465,2.03823492,0,0,4.921251386,24.21788272,22.0228296,24.27885686,-0.522535266,-0.860014459,-0.397502478,11527.419,67.57919678,197.4431145,10947,24.42396313,64.05529954,11.52073733,2.14748,5097.602772,202500,30375.61604,1553.914355,0.754465295,64.20023751,4.12898511,6.476660272,22.59066411
E05000472,Village,Merton,Outer,0.070035722,2.072738319,0.144480003,0.357916804,0.049625805,2.624760932,24.60053593,22.09023981,23.79887921,-0.86867751,-0.93562491,-1.078976931,6938.146538,67.38247768,142.3998864,8684,19.42857143,60.57142857,20,6.21285,1397.748215,1530000,98052.78005,782.5716056,1.400749064,81.01105481,3.051589129,10.75541225,0.932749885
E05000554,Village,Southwark,Inner,0.088710378,6.211839535,0,3.956266674,0,10.16810621,17.70873082,15.96419276,17.47551127,-0.723945876,-0.627101066,-0.831822027,18500.27532,72.71419257,92.08447034,12456,22.48995984,65.86345382,11.64658635,2.78745,4468.600334,850000,89596.89205,1650.253816,1.004366812,79.51991008,5.748233783,5.924855491,7.394026975
E05009386,Victoria,Hackney,Inner,0.175257814,12.7645683,0.13562189,2.125065241,0,15.02525543,15.6167771,14.74873748,15.06470274,-0.648455777,-0.357895565,-0.714541904,49384.50606,82.52956284,51.76168987,12600,20.62883436,71.79447853,7.576687117,0.76086,16560.20819,492500,35363.51892,3076.644034,0.444700461,54.66191455,6.730923913,9.292969759,23.59895986
E05000436,Vassall,Lambeth,Inner,0.252411981,11.32831571,3.215580524,0.385004576,0,14.92890081,17.09751892,15.86887674,16.65756304,-0.803590098,-0.759053408,-0.802371162,60305.73218,79.31330633,43.08058257,14963,16.72240803,75.91973244,7.357859532,1.12973,13244.7576,395000,36349.42055,2338.611881,0.435470579,44.73033483,7.892802246,5.460135,33.47590724
E05000607,Valley,Waltham Forest,Outer,0.268964242,5.652074343,0,0,0,5.652074343,19.98420808,18.34854281,19.21785708,0.071206656,0.164402989,0.06356321,23063.41207,70.93739535,116.0220878,11707,20.76271186,65.6779661,13.98305085,1.98482,5898.267853,285000,37425.77039,2352.35437,1.081037277,60.26309046,5.23618348,12.18928846,16.91295806
E05000514,Valentines,Redbridge,Outer,0.060072709,12.32672577,0,3.527670308,0,15.85439608,16.5593067,15.76685461,15.77254167,-0.058604746,-0.450071283,0.076851539,30915.61378,76.78148728,82.40525981,14627,24.91582492,66.32996633,8.754208754,1.50328,9730.056942,225000,36730.47599,2604.305253,0.818352843,21.62439325,3.541396048,60.06699938,8.265536337
E05000040,Valence,Barking and Dagenham,Outer,0.152188663,6.727517743,0,1.916491345,0,8.644009088,20.67335673,19.5479976,20.12992588,-0.428908308,-0.478065624,-0.659852441,12494.25213,76.0466374,102.3935725,10090,25,63,12,1.29284,7804.523375,215000,31907.90686,2491.414251,0.846295323,66.93756194,4.32111001,11.67492567,13.73637265
